Item,Locker Name,Deployment Date,Building Type,地址,,,,,,,Address in English,,,,,,,Club House,Nickname,Locker Type,,Availability,Publicly Accessible
,,,,地域,地區,街道名稱,街道門牌,樓宇名稱,樓層,單位/描述,Description,Floor,Building,Street No.,Street,District,Region,,,Kiosk,Boxes,,
0,TestLocker,,,,,,,,,,,,,,,,,N,Testing,,,,
1,ManhattanHill,10/24/16,住宅,九龍,荔枝角,寶輪街,1號,曼克頓山,,2樓穿梭大堂,Shttle Lift Lobby,2/F,Manhattan Hill,1,Po Lun Street,Lai Chi Kok,Kowloon,Y,Michael,R,36,7:00-23:00,N
2,TsuiChukGardenBlock2,12/3/16,住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第二座,,翠竹花園第2座大門外,Block 2. Next to Gate,,Tsui Chuk Garden Block2,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Tracy,R,18,24,Y
3,TsuiChukGardenBlock9,12/3/16,住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第九座,,翠竹花園第9座大門外,"Block 8, Next to Gate ",,Tsui Chuk Garden Block9,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Theresa,R,18,24,Y
4,HilltopGardens,12/3/16,住宅,九龍,鑽石山,豐盛街,33號,海港花園,,海港花園大門入口,Gate Entrance,,Hilltop Gardens,33,Fung Shing Street,Diamond Hill,Kowloon,N,Hugo,R,18,24,Y
5,EntrepotCentre,12/5/16,工廈,九龍,觀塘,巧明街,117號,港貿中心,1樓,電梯旁,Next to escalator,1/F,Entrepot Centre,117,How Ming Street,Kwun Tong,Kowloon,N,Amber,R,18,7:00-23:00,Y
6,CamelPaintBuildingBlock3,12/5/16,工廈,九龍,觀塘,開源道,60號,駱駝漆大廈第3座及車場,地下,Lift大堂,Lift lobby,,Camel Paint Building Block3,60,Hoi Yuen Road,Kwun Tong,Kowloon,N,Lucas,R,36,24,Y
7,HongYatCourt,12/5/16,住宅,九龍,藍田,德田街,1號,康逸苑,,啟田邨接駁天橋,Pedestrian Bridge connected to Kai Tin Estate,,Hong Yat Court,1,Tak Tin Street,Lam Tin,Kowloon,N,Honey,R,36,24,Y
8,LongPingEstateCommercialCentre,12/6/16,商場,新界,元朗,朗屏路,1號,朗屏商場,地下,巴士總站,Near Bus station,G/F,Long Ping Estate Commercial Centre,1,Long Ping Road,Yuen Long,New Territories,N,Robbie,R,54,7:00-23:00,
9,VillaPremiere,12/6/16,住宅,新界,元朗,鳳翔路,99號,朗怡居,,屋苑門口,Gate,,Villa Premiere,99,Fung Cheung Road,Yuen Long,New Territories,Y,Ronny,L,36,24,
10,FuTaiShoppingCentre,12/7/16,商場,新界,屯門,屯貴路,9號,富泰商場,地下,停車場門口,Car Park Entrance,G/F,Fu Tai Shopping Centre,9,Tuen Kwai Road,Tuen Mun,New Territories,N,Freddie,R,36,7:00-23:00,
11,ButterflyPlaza,12/7/16,商場,新界,屯門,湖翠路,1號,蝴蝶商場,2樓,759對面,No.LK01 (opposite 759),Level 2,Butterfly Plaza,1,Wu Chui Road,Tuen Mun,New Territories,N,Butterfly,L,36,7:00-23:00,
12,HandsomeCourt,12/7/16,住宅,新界,屯門,青山公路青山灣段,362-388號,恒順園,,平臺,Podium,,Handsome Court,362-388,Castle Peak Road (Castle Peak Bay),Tuen Mun,New Territories,N,Handsome,R,36,24,
13,CheungHangShoppingCentre,12/8/16,商場,新界,青衣,寮肚路,,長亨商場,地下,酒樓對門,Opposite the restaurant,G/F,Cheung Hang Shopping Centre,,Liu To Road,Tsing Yi,New Territories,N,Charlie,R,36,7:00-23:00,
14,TsingYiEstate,12/8/16,住宅,新界,青衣,楓樹窩路 ,10號,青衣邨,,巴士站對面，管理處附近,Opposite Bus Station (near management office),,Tsing Yi Estate,10,Fung Shue Wo Road,Tsing Yi,New Territories,N,Joey,R,36,24,
15,HinKengShoppingCentre,12/8/16,商場,新界,大圍,車公廟道,69號,顯徑商場,地下,華潤超級市場附近, near Vanguard,G/F,Hin Keng Shopping Centre,69,Che Kung Miu Rd,Tai Wai,New Territories,N,Hayden,R,36,7:00-23:00,
16,BayviewGarden,12/9/16,住宅,新界,荃灣,青山公路荃灣段,633號,灣景花園,,平臺,Podium,,Bayview Garden,633,Castle Peak Road (Tsuen Wan),Tsuen Wan,New Territories,N,Wendy,R,36,24,
17,TaiWoPlaza,12/9/16,商場,新界,大埔,太和路,12號,太和商場,1樓,1/F,1/F,1/F,Tai Wo Plaza,12,Tai Wo Road,Tai Po,New Territories,N,Terry,R,54,7:00-23:00,
18,LekYuenPlaza,12/12/16,商場,新界,沙田,瀝源街,6號,瀝源廣場,,汽水機旁邊,Next to vending machine,,Lek Yuen Plaza,6,Lek Yuen Street,Sha Tin,New Territories,N,Lilian,L,18,7:00-23:00,
19,HengOnShoppingCentre,12/12/16,商場,新界,馬鞍山,恆錦街,1號,恆安商場,,惠康對面,Opposite Wellcome,,Heng On Shopping Centre,1,Hang Kam Street,Ma On Shan,New Territories,N,Hannah,R,36,7:00-23:00,
20,GrandPromenade,12/13/16,住宅,香港,西灣河,太康街,38號,嘉亨灣,,大門外,Outside the gate,,Grand Promenade,38,Tai Hong Street,Sai Wan Ho,Hong Kong,Y,Gaven,L,36,24,
21,AldrichGarden,12/13/16,住宅,香港,筲箕灣,愛禮街,2號,愛蝶灣,,愛蝶灣5座,Block 5,,Aldrich Garden,2,Oi Lai Street,Shau Kei Wan,Hong Kong,N,Eddie,R,36,24,
22,NewJadeGarden,12/13/16,住宅,香港,柴灣,柴灣道,233號,新翠花園,,新翠花園4座泵房則(平台),"Block 4, Podium",,New Jade Garden,233,Chai Wan Road,Chai Wan,Hong Kong,N,Jade,L,36,24,
23,OiManPlaza,12/14/16,商場,九龍,何文田,忠孝街,60號,愛民商場,1樓,八方雲集餃子店旁邊,next to 8way dumpling restaurant,1/F,Oi Man Plaza,60,Chung Hau Street,Ho Man Tin,Kowloon,N,Edmond,R,36,7:00-23:00,
24,FuCheongShoppingCentre,12/14/16,商場,九龍,深水埗,深旺道,,富昌商場,1樓,42號鋪位旁邊,next to shop 42,1/F,Fu Cheong Shopping Centre,,Sham Mong Road,Sham Shui Po,Kowloon,N,Fox,L,36,7:00-23:00,
25,HungHomFerryPier,12/14/16,交通樞紐,九龍,紅磡,華信街,,紅磡碼頭,1樓,,,1/F,Hung Hom Ferry Pier,,Wa Shun Street,Hung Hom,Kowloon,N,Humphrey,R,36,24,
26,711-0390,1/18/17,便利店,九龍,土瓜灣,北帝街,24-24A,,地下,7-11便利店,7-Eleven,G/F,,24-24A,Pak Tai Street,To Kwa Wan,Kowloon,N,Betty,,13,24,
27,711-1356,1/18/17,便利店,九龍,佐敦,柯士甸道,106號,耀基大樓,地下,7-11便利店,7-Eleven,G/F,Yiu Kei Mansion,106,Austin Road,Jordan,Kowloon,N,Yuki,,13,24,
28,711-0001,1/18/17,便利店,香港,跑馬地,黃泥涌道 ,15號,常德樓,地下,7-11便利店,7-Eleven,G/F,Winner House,15,Wong Nai Chung Road,Happy Valley,Hong Kong,N,Winnie,,13,24,
29,ComwebPlaza,1/19/17,工商大廈,九龍,長沙灣,長裕街,12號,經達廣場,,停車場環保回收筒側,Next to the recycle bin in the Car Park,,Comweb Plaza,12,Cheung Yue Street,Cheung Sha Wan,Kowloon,,Kinda,R,36,,
30,CheungLungIndustrialBuilding,1/19/17,工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,,Cherry,R,18,,
31,SkyOne,1/19/17,住宅,新界,沙田大圍,銅鑼灣山路,18號,雲頂峰,,平台會所汽水機旁,Next to the vending machine in Club House on podium,,Sky One,18,Tung Lo Wan Hill Road,Sha Tin-Tai Wai,New Territories,Y,Sky,R,36,,
32,SunTuenMunCentre,1/20/17,商場,新界,屯門,龍門路,55-65號,新屯門中心,1樓,商場1樓,Shopping Centre 1/F,1/F,Sun Tuen Mun Centre,55-65,Lung Mun Road,Tuen Mun,New Territories,,Sandy,R,36,,
33,ProficientIndustrialCentre,1/21/17,工商大廈,九龍,九龍灣,宏冠道,6號,鴻力工業中心,,Lift大堂,Lift lobby,,Proficient Industrial Centre,6,Wang Kwun Road,Kowloon Bay,Kowloon,,Henry,R,36,,
34,TheParcville,1/21/17,住宅,新界,元朗,元朗舊墟路,33號,采葉庭,平台,"平台, 汽水機側","Next to vending machine, Podium",Podium,The Parcville,33,Yuen Long Kau Hui Road,Yuen Long,New Territories,Y,,R,36,,
35,KingstonTerrace,1/21/17,住宅,新界,屯門,景新徑,2號,景新臺,平台,"平台, 順豐側","Next to EF-Express, Podium",Podium,Kingston Terrace,2,King San Path,Tuen Mun,New Territories,,Kinsey,R,36,24,
36,KowloonCityFerryPier,1/23/17,交通樞紐,九龍,九龍城,,,九龍城碼頭,門口,碼頭出入口,Ferry Pier Entrance,Gate,Kowloon City Ferry Pier,,,Kowloon City,Kowloon,N,Kerry,L,18,0700-0700,
37,HarbourPlace,1/23/17,住宅,九龍,紅磡,愛景街,8號,海濱南岸,平台,N1&N2升降機旁屋苑旁,Next to the house closed to LiftN1&N2,Podium,Harbour Place,8,Oi King Street,Hung Hom,Kowloon,Y,Haven,R,,24,
38,YeeFungGarden,1/23/17,住宅,新界,元朗,馬田路,38號,怡豐花園,平台,地下商場千之壽旁,Next to Yuen Long Sushi Restaurant in underground centre,Podium,Yee Fung Garden,38,Ma Tin Road,Yuen Long,New Territories,,Eva,L,36,24,
39,GrandDelSol,1/23/17,住宅,新界,元朗,鳳翔路,100號,朗晴居,平台,"10座, 會所旁","Block 10, Next to Club House",Podium,Grand Del Sol,100,Fung Cheung Road,Yuen Long,New Territories,Y,Ranch,L,,24,
40,TakTinEstate,1/24/17,住宅,九龍,藍田,碧雲道,223號,德田邨,,德田廣場1樓商場平台(近停車場升降機側),"Shopping centre on Tak Tin Plaza 1/F, Next to the Lift in Car Park",,Tak Tin Estate,223,Pik Wan Road,Lam Tin,Kowloon,,Duck,L,36,24,Y
41,Mikiki,1/24/17,商場,新界,新蒲崗,太子道東,638,MIKIKI,,商場B2,Shopping Centre B2,,MIKIKI,638,Prince Edward Road East,San Po Gong,New Territories,N,Mikiki,M,72,,Y
42,KwaiSingCentre,1/25/17,工商大廈,新界,葵涌,青山公路葵涌段,412-416號,葵星中心B座,平台,商場G/F 日本城旁 ,"Shopping Centre G/F, Next to Janpan City",Podium,"Kwai Sing Centre, Block B",412-416,Castle Peak Road- Kwai Chung,Kwai Chung,New Territories,,Queenie,L,18,,Y
43,MayfairGardens,1/25/17,住宅,新界,青衣,細山路,2-16號,美景花園,平台,"往車場中央樓梯旁
（第7座對出、大快活側）","Next to the central stairs to Car Park, Opposite Block 7, Next to Fairwood",Podium,Mayfair Gardens,2- 16,Sai Shan Road,Tsing Yi,New Territories,N,May,L,36,24,Y
44,711-0742,2/10/17,便利店,九龍,觀塘,駿業里 ,10 號,業運工業大廈,地下 ,A 舖位，7-11便利店,"7-Eleven, Shop A",G/F,Yip Win Factory Building,10,Tsun Yip Lane,Kwun Tong,Kowloon,,Evelyn,,13,,
45,711-0132,2/10/17,便利店,九龍,旺角,豉油街 ,60-104B號,鴻都大廈商場,地下 ,16 號舖，7-11便利店,"7-Eleven, Shop 16",G/F,"Concord Building, Shopping Arcade",60- 104B,Soy Street,Mong Kok,Kowloon,,Honda,,13,,
46,TinChakShoppingCentre,2/15/17,商場,新界,天水圍,天瑞路,,天澤邨天澤商場,1樓,商場1樓,Shopping Centre 1/F,,"Tin Chak Shopping Centre, Tin Chak Estate",,Tin Shui Road,Tin Shui Wai,New Territories,,Tina,,,,
47,KamTai ShoppingCentre,2/15/17,商場,新界,馬鞍山,寧泰路,33號,錦泰苑商場,1樓,商場1樓,Shopping Centre 1/F,1/F,"Kam Tai Court, Shopping Arcade",33,Ning Tai Road,Ma On Shan,New Territories,,Ken,,,7:00-23:00,
48,SheungTakPlaza,2/15/17,商場,新界,將軍澳,唐明街,2號,尚德廣場,2樓,商場2樓,Shopping Centre 2/F,2/F,Sheung Tak Plaza,2,Tong Ming Street,Tseung Kwan O,New Territories,,Shandy,,,7:00-23:00,
49,711-0016,2/27/17,便利店,九龍,紅磡,民泰街 ,2-32A號,黃埔新邨黃埔新邨F及G座商場 ,地下 ,B2A-B2B，7-11便利店,"7-Eleven, B2A-B2B",G/F,"Whampoa Estate, Whampoa Estate Shopping Arcade - Block F & G ",2-32A,Man Tai Street,Hung Hom,Kowloon,,David,,13,,
50,711-0443,2/29/2017,便利店,新界,西貢,萬年街 ,118 號,,地下,7-11便利店,7-Eleven,G/F,,118,Man Nin Street,Sai Kung,New Territories,,Manny,,13,,
51,711-0861,2/29/2017,便利店,新界,大埔,大明里,1- 27號,寶華樓,地下, 1 號部份 D 及 E 舖，7-11便利店,"7-Eleven, Shop D & E, No.1",G/F,Po Wah Building,1-27,Tai Ming Lane,Tai Po,New Territories,,Boa,,13,,
52,711-0616,2/28/17,便利店,新界,元朗,又新街 ,38 號,恒富大廈,地下 ,12 及 13 號舖位，7-11便利店,"7-Eleven, Shop 12 & 13",G/F,Hang Fu Building,38,Yau San Street,Yuen Long,New Territories,,Hamphil,,13,,
53,711-1119,2/28/17,便利店,新界,元朗,元朗安寧路,65-79 號,福安樓,地下 ,C 號舖位，7-11便利店,"7-Eleven, Shop C",G/F,Fook On Building,65- 79,Yuen Long On Ning Road,Yuen Long,New Territories,,Vivian,,13,,
54,711-0148,2/27/17,便利店,九龍,大角咀,福全街 ,25 號,宏福樓,地下,7-11便利店,7-Eleven,G/F,Wang Fuk House,25,Fuk Tsun Street,Tai Kok Tsui,Kowloon,,Humph,,13,,
55,711-0688,2/29/2017,便利店,香港,香港仔,湖南街 ,11 號,,地下,7-11便利店,7-Eleven,G/F,,11,Wu Nam Street,Aberdeen,Hong Kong,,Woody,,13,,
56,711-1187,2/28/17,便利店,新界,屯門,景峰徑,2號,景峰花園,地下 ,G09 及 G10號舖位 ，7-11便利店,"7-Eleven, Shop G09 & G10",G/F,Prime View Garden,2,King Fung Path,Tuen Mun,New Territories,,Kera,,13,,
57,711-0083,2/27/17,便利店,九龍,慈雲山,芳華里, 1-11 號,毓華樓,地下 ,D 舖，7-11便利店,"7-Eleven, Shop D",G/F,Yuk Wah House,1- 11,Fong Wah Lane,Tsz Wan Shan,Kowloon,,,,13,,
58,Residence88,3/1/17,住宅,新界,元朗,鳳翔路,88號,譽88,,會所接待處則,Next to the reception centre in Club House,,Residence 88,88,Fung Cheung Road,Yuen Long,New Territories,,Barbie,,,,
59,ClagueGardenEstate,3/1/17,住宅,新界,荃灣,海盛路,30號,祈德尊新邨,平台,平台,Podium,Podium,Clague Garden Estate,30,Hoi Shing Road,Tsuen Wan,New Territories,,Keda,,,,
60,CenturyLink,3/1/17,住宅,新界,東涌,迎康街,6號,東環,,會所,Club House,,,,,Tung Chung,New Territories,Y,Douglas,,,,
61,SaddleRidgeGarden,3/1/17,住宅,新界,馬鞍山,錦英路,6號,富寶花園,,,,,Saddle Ridge Garden,6,Kam Ying Road,Ma On Shan,New Territories,,Bobo,,,,
62,711-0434,TBC,便利店,新界,馬鞍山,西沙路,608號,海柏花園馬鞍山廣場,2樓,201-202舖，7-11便利店,"7-Eleven, Shop 201-202",2/F,"Ma On Shan Plaza, Bayshore Towers",608,Sai Sha Road,Ma On Shan,New Territories,N,,,13,24,
63,711-1366,TBC,便利店,新界,荃灣,荃景圍,187-195號,荃威花園第一期,地下,7號舖，7-11便利店,"7-Eleven, Shop 7",G/F,Allway Gardens,187-195,Tsuen King Circuit,Tsuen Wan,New Territories,N,Wayne,,13,24,
64,711-0312,TBC,便利店,新界,青衣,細山路,2-16號,美景花園中座,,第3-4&17-20號舖，7-11便利店,"7-Eleven, Shop 3-4 & 17-20",,"Central Block, Mayfair Gardens",2-16,Sai Shan Road,Kwai Tsing,New Territories,N,Macy,,13,24,
65,711-0247,TBC,便利店,新界,上水,天平路,48號,天平邨購物商場,,116號舖，7-11便利店,"7-Eleven, Shop 116",,Tin Ping Estate Shopping Centre,48,Tin Ping Road,Sheung Shui,New Territories,N,Tippie,,13,24,
66,711-0388,TBC,便利店,香港,北角,七姊妹道,180-182號,健康邨,地下,A舖，7-11便利店,"7-Eleven, Shop A",G/F,Happy Village,180-182,Tsat Tsz Mui Road,North Point,Hong Kong,N,Ken,,13,24,
67,711-0150,TBC,便利店,香港,上環,干諾道中,168-200號,信德中心G01,2樓,232舖，7-11便利店,"7-Eleven, Shop 232",2/F,Shun Tak Centre G01,168-200,Connaught Road Central,Sheung Wan,Hong Kong,N,,,13,24,
68,711-1306,TBC,便利店,香港,灣仔,港灣道,30號,新鴻基中心,1樓,134至135號舖，7-11便利店,"7-Eleven, Shop 134-135",1/F,Sun Hung Kai Centre,30,Harbour Road,Wan Chai,Hong Kong,N,,,13,7:00-23:00,
69,Riva,,住宅,新界,元朗,映河路,1號,爾巒,平台,會所通道,Club House Corridor,Podium,Riva,1,Ying Ho Road,Yuen Long,New Territories,Y,Riva,,,,
70,YatTungShoppingCentre,,商場,新界,東涌,,,逸東(2)邨逸東商場2,2樓,,,2/F,"Yat Tung (2) Estate, Yat Tung Shopping Centre 2",,,Tung Chung,New Territories,,Allen,,,7:00-23:00,
71,SummitTerrace,,住宅,新界,荃灣,安育路,1-2號,翠豐臺,,,,,Summit Terrace,1-2,On Yuk Road,Tsuen Wan,New Territories,Y,Triumph,,,24,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
