Item,lockerName,deploymentDate,buildingType,zh_HK.region,zh_HK.district,zh_hk.street,zh_HK.streetNumber,zh_HK.building,zh_HK.floor,zh_HK.description,en.description,en.floor,en.building,en.streetNumber,en.street,en.district,en.region,clubhouse,nickname,kiosk,boxes,availability,accessible,certificateId:,csNumber,
1,test-foshan,"January 1, 2016",工廈,,,,,,,,,17/F,,,,,,N,test-foshan,,54,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
2,test-hk1,"January 1, 2016",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,N,test-hk1,,36,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
3,test-hk2,"January 1, 2016",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,N,test-hk2,,13,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
4,test-hk3,"January 1, 2016",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,N,test-hk3,,13,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
5,test-likon1,"January 1, 2016",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,N,test-likon1,,36,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
6,test-likon2,"January 1, 2016",工商大廈,九龍,長沙灣,長義街,10號,昌隆工業大廈,,Lift大堂,Lift lobby,,Cheung Lung Industrial Building,10,Cheung Yee Street,Cheung Sha Wan,Kowloon,N,test-likon2,,13,24,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
7,ManhattanHill,"October 24, 2016",住宅,九龍,荔枝角,寶輪街,1號,曼克頓山,,2樓穿梭大堂,Shttle Lift Lobby,2/F,Manhattan Hill,1,Po Lun Street,Lai Chi Kok,Kowloon,Y,Michael,R,36,7:00-23:00,N,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
8,TsuiChukGardenBlock2,"December 3, 2016",住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第二座,,翠竹花園第2座大門外,Block 2. Next to Gate,,Tsui Chuk Garden Block2,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Tracy,R,18,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
9,TsuiChukGardenBlock9,"December 3, 2016",住宅,九龍,黃大仙,翠竹街,8號,翠竹花園第九座,,翠竹花園第9座大門外,"Block 8, Next to Gate ",,Tsui Chuk Garden Block9,8,Chui Chuk Street,Wong Tai Xin,Kowloon,N,Theresa,R,18,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
10,HilltopGardens,"December 3, 2016",住宅,九龍,鑽石山,豐盛街,33號,海港花園,,海港花園大門入口,Gate Entrance,,Hilltop Gardens,33,Fung Shing Street,Diamond Hill,Kowloon,N,Hugo,R,18,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
11,EntrepotCentre,"December 5, 2016",工廈,九龍,觀塘,巧明街,117號,港貿中心,1樓,電梯旁,Next to escalator,1/F,Entrepot Centre,117,How Ming Street,Kwun Tong,Kowloon,N,Amber,R,18,7:00-23:00,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
12,CamelPaintBuildingBlock3,"December 5, 2016",工廈,九龍,觀塘,開源道,60號,駱駝漆大廈第3座及車場,地下,Lift大堂,Lift lobby,,Camel Paint Building Block3,60,Hoi Yuen Road,Kwun Tong,Kowloon,N,Lucas,R,36,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
13,HongYatCourt,"December 5, 2016",住宅,九龍,藍田,德田街,1號,康逸苑,,啟田邨接駁天橋,Pedestrian Bridge connected to Kai Tin Estate,,Hong Yat Court,1,Tak Tin Street,Lam Tin,Kowloon,N,Honey,R,36,24,Y,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
14,LongPingEstateCommercialCentre,"December 6, 2016",商場,新界,元朗,朗屏路,1號,朗屏商場,地下,巴士總站,Near Bus station,G/F,Long Ping Estate Commercial Centre,1,Long Ping Road,Yuen Long,New Territories,N,Robbie,R,54,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
15,VillaPremiere,"December 6, 2016",住宅,新界,元朗,鳳翔路,99號,朗怡居,,屋苑門口,Gate,,Villa Premiere,99,Fung Cheung Road,Yuen Long,New Territories,Y,Ronny,L,36,24,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
16,FuTaiShoppingCentre,"December 7, 2016",商場,新界,屯門,屯貴路,9號,富泰商場,地下,停車場門口,Car Park Entrance,G/F,Fu Tai Shopping Centre,9,Tuen Kwai Road,Tuen Mun,New Territories,N,Freddie,R,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
17,ButterflyPlaza,"December 7, 2016",商場,新界,屯門,湖翠路,1號,蝴蝶商場,2樓,759對面,No.LK01 (opposite 759),Level 2,Butterfly Plaza,1,Wu Chui Road,Tuen Mun,New Territories,N,Butterfly,L,36,7:00-23:00,,561b31425b2fac5695c236b2b42244bb55777f25538b5a2cd0f920bb91b2d6d2,85236672668,
